233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 3)
16357414 getPopulationofCountry Thailand Zone:1 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 1)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 2)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 2)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 2)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 1)
63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
8833274 getPopulationofCountry Greece Zone:2 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 3)
3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 3)
7375148 getPopulationofCountry Switzerland Zone:3 (turnaround time: 84 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 3)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 2)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 2)
7571439 getPopulationofCountry Kenya Zone:1 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 1)
6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 4)
736951 getPopulationofCountry Gambia Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
4803355 getPopulationofCountry Serbia Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 3)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 103 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:1 (turnaround time: 93 ms, execution time: 2 ms, waiting time: 89 ms, processed by Server 1)
7571439 getPopulationofCountry Kenya Zone:3 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 86 ms, processed by Server 3)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 83 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 3)
8480241 getPopulationofCountry Israel Zone:5 (turnaround time: 108 ms, execution time: 3 ms, waiting time: 85 ms, processed by Server 5)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 3)
